_id,OBJECTID,CartID,BikeFacilityType,MSAG_Name,ProjectName,Jurisdiction,District,Length,MaintenanceResponsibility,Status,FacilityName,Comments,Shape__Length
379,379,BF_313002077,Bike Lane,FOUNTAINWOOD DR,Unknown,San Antonio,10,444.76108663,COSA - Public Works Dept,Active,Fountainwood Dr from Oconnor Rd to Judson Rd,None,444.761086635027
380,380,BF_313003125,Bike Lane,MICRON DR,Unknown,San Antonio,6,173.52177357,COSA - Public Works Dept,Active,Micron Dr from Potranco Rd to Culebra Rd,None,173.521773570252
381,381,BF_313000841,Bike Lane,DEER CREST,Unknown,San Antonio,9,840.66438883,COSA - Public Works Dept,Active,Deer Crest from Blanco Rd to Huebner Rd,None,840.664388834466
382,382,BF_313002221,Bike Lane,SPRING TIME DR,Unknown,San Antonio,8,641.59934133,COSA - Public Works Dept,Active,Spring Time Dr from Prue Rd to Four Colonies,None,641.599341338024
383,383,BF_313001643,Route,CORAL SPGS,Unknown,San Antonio,6,785.7708756,COSA - Public Works Dept,Active,CORAL SPGS from Heath Circle Dr_Low Bid Ln to Mainland Dr,None,785.770875606248
384,384,BF_313002444,Bike Lane,PICKWELL DR,Unknown,San Antonio,3,327.58586742,COSA - Public Works Dept,Active,Pickwell Dr from Southport Dr Tipperary,None,327.585867424433
385,385,BF_313000471,Route,N ST MARYS,Unknown,San Antonio,1,64.99700419,COSA - Public Works Dept,Active,N St Marys St from Tuleta to W Jones Ave,None,64.9970041856485
386,386,BF_313001808,Route,GILLETTE BLVD,Unknown,San Antonio,3,596.11288475,COSA - Public Works Dept,Active,Gillette Blvd from Clamp to S Zarzamora St,None,596.112884757881
387,387,BF_313003014,Bike Lane,SEASCAPE DR,Unknown,San Antonio,4,1386.15729392,COSA - Public Works Dept,Active,Seascape Dr from W Military Dr to Potranco Rd,None,1386.15729392085
388,388,BF_313004390,Multi Use Path,UTSA BLVD,Unknown,San Antonio,8,630.16336505,COSA - Public Works Dept,Active,UTSA Blvd from Valero Way to Babcock Rd,None,630.163365046467
389,389,BF_313004358,Bike Lane,W COMMERCE ST,Unknown,San Antonio,5,609.46810113,COSA - Public Works Dept,Active,W Commerce St from S Frio to Enrique M Barerra Pkwy,None,609.468101129483
390,390,BF_313000791,Route,S MESQUITE ST,Unknown,San Antonio,2,236.49234258,COSA - Public Works Dept,Active,S Mesquite St from Nevada to Hays St,None,236.492342586692
391,391,BF_313001556,Bike Lane,MANOR DR,Unknown,San Antonio,7,358.04278422,COSA - Public Works Dept,Active,Manor Dr from Donaldson Ave to W Mulberry Ave,None,358.0427842227
392,392,BF_313000577,Route,NEVADA,Unknown,San Antonio,2,361.04727835,COSA - Public Works Dept,Active,Nevada from S Mequite St to S Mittman St,None,361.047278351582
393,393,BF_313001394,Route,N ST MARYS,Unknown,San Antonio,1,174.31209711,COSA - Public Works Dept,Active,N St Marys St from Tuleta to W Jones Ave,None,174.31209711034
394,394,BF_313000089,Route,DONALDSON AVE,Unknown,San Antonio,7,176.99896567,COSA - Public Works Dept,Active,Donaldson Ave from N Elmendorf to E Quill Dr,None,176.99896567529
395,395,BF_313000178,Multi Use Path,CALLAGHAN RD,Unknown,San Antonio,7,598.65256411,COSA - Public Works Dept,Active,Callaghan Rd from Bandera Rd to Hemphill St,None,598.652564116629
396,396,BF_313001974,Multi Use Path,N HUNT LN,Unknown,San Antonio,4,660.73733992,COSA - Public Works Dept,Active,N Hunt Ln from Ingram Rd to Potranco Rd,None,598.71713980516
397,397,BF_313004163,Bike Lane,GOLIAD RD,40-00424 Goliad Road Drainage Service Rd to LP 410,San Antonio,3,943.17760756,COSA - Public Works Dept,Active,Goliad Road from SE Military Dr to SE Loop 410 Access Rd,None,943.177607562108
398,398,BF_313000515,Buffered Lane,VISTA VW,Unknown,San Antonio,9,38.20417015,COSA - Public Works Dept,Active,Vista Vw from Braesview_Patricia Dr intersection to Blanco Rd,None,38.2041701512649
399,399,BF_313000419,Route,ABE LINCOLN RD,Unknown,San Antonio,7,605.3073797,COSA - Public Works Dept,Active,Abe Lincoln Rd from Horn Blvd to Eckhert Rd,None,605.307379705769
400,400,BF_313002805,Bike Lane,W HARDING BLVD,Unknown,San Antonio,3,574.76587589,COSA - Public Works Dept,Active,W Harding Blvd from Commercial Ave to Pleasanton Rd,None,574.765875896573
401,401,BF_313003108,Bike Lane,FRIO CITY RD,Unknown,San Antonio,5,613.24704908,COSA - Public Works Dept,Active,Frio City Rd from S Brazos St to W Malone,None,613.247049085911
402,402,BF_313000114,Bike Lane,BELL DR,Unknown,San Antonio,10,13.28451129,COSA - Public Works Dept,Active,Bell Dr from Stahl Rd to Uhr Lane,None,13.2845112974257
403,403,BF_313003647,Bike Lane,MYSTIC PARK,Unknown,San Antonio,7,415.80346828,COSA - Public Works Dept,Active,Mystic Park from Guilbeau Rd to Bandera Rd,None,415.803468283985
404,404,BF_313000645,Bike Lane,W COMMERCE ST,Unknown,San Antonio,5,392.52093667,COSA - Public Works Dept,Active,W Commerce St from S Frio to Enrique M Barerra Pkwy,None,392.520936672836
405,405,BF_313002883,Bike Lane,CAMINO VILLA,Unknown,San Antonio,7,743.94546474,COSA - Public Works Dept,Active,Camino Villa from Bandera to Lynbrook Manor Dr,None,743.945464743975
406,406,BF_313004133,Multi Use Path,W HAUSMAN RD,40-00420 Hausman Road Loop 1604 to IH 10,San Antonio,8,1437.3010177,COSA - Public Works Dept,Active,W Hausman Rd from N Loop 1604 W Access Rd to University Hts,None,1437.30101769881
407,407,BF_313001791,Bike Lane,PARKSITE WOODS,Unknown,San Antonio,8,845.2976198,COSA - Public Works Dept,Active,Indian Woods_Parksite Woods from De Zavala Rd to De Zavala Rd,None,845.297619806097
408,408,BF_313001584,Bike Lane,MEADOW WAY DR,Unknown,San Antonio,6,306.34806541,COSA - Public Works Dept,Active,Meadow Way Dr from Marbach Rd to Timbercreek Dr,None,306.34806541847
409,409,BF_313002303,Bike Lane,DWYER AVE,Unknown,San Antonio,1,367.59827123,COSA - Public Works Dept,Active,Dwyer Ave from E Cesar Chavez Blvd to E Nueva St,None,367.598271232468
410,410,BF_313000312,Bike Lane,FAIRLAWN DR,Unknown,San Antonio,3,493.30560239,COSA - Public Works Dept,Active,Fairlawn Dr from Killarney Dr to Emory Oak,None,493.305602398958
411,411,BF_313000652,Bike Lane,BUENA VISTA ST,Unknown,San Antonio,5,262.57424512,COSA - Public Works Dept,Active,Buena Vista St from SW 19th St to S Frio,None,262.574245125972
412,412,BF_313000042,Bike Lane,RIDGE COUNTRY,Unknown,San Antonio,10,308.23231114,COSA - Public Works Dept,Active,Ridge Country from Stoney Summit to Wetmore Rd,None,308.232311148272
413,413,BF_313004260,Multi Use Path,CALLAGHAN RD,Unknown,San Antonio,7,148.06795768,COSA - Public Works Dept,Active,TBD,None,148.067957677937
414,414,BF_313001860,Bike Lane,BELGIUM,Unknown,San Antonio,2,312.55905558,COSA - Public Works Dept,Active,Belgium from ATT Center Pkwy to Salado Creek,None,312.559055582014
415,415,BF_313002194,Bike Lane,KNIGHTS CROSS DR,Unknown,San Antonio,9,527.65943005,COSA - Public Works Dept,Active,Knights Cross Dr from Summer Knoll to Evans Rd,None,527.659430055787
416,416,BF_313004494,Bike Lane,GOLIAD RD,Unknown,San Antonio,3,319.56117509,COSA - Public Works Dept,TBD,TBD,None,319.561175089123
417,417,BF_313002237,Bike Lane,ASHLEY RD,Unknown,San Antonio,3,292.00007216,COSA - Public Works Dept,Active,Ashley from Pleasanton to Flores,None,292.000072166324
418,418,BF_313002956,Bike Lane,NORTH HOLW,Unknown,San Antonio,7,339.41006242,COSA - Public Works Dept,Active,North Holw from Apple Green Rd to Eckhert Rd,None,339.410062426206
419,419,BF_313003661,Bike Lane,S SAN JOAQUIN,Unknown,San Antonio,5,538.61386418,COSA - Public Works Dept,Active,S San Joaquin from Old US Hwy 90 W to Eldridge Ave,None,538.613864186322
420,420,BF_313003101,Bike Lane,CABLE RANCH RD,Unknown,San Antonio,6,487.56355396,COSA - Public Works Dept,Active,Cable Ranch Rd from Waters Edge Dr to Marbach Rd,None,487.563553966453
421,421,BF_313004141,Bike Lane,BULVERDE RD,40-00005 Bulverde Rd Loop 1604 to Evans Rd,San Antonio,10,1355.89645649,COSA - Public Works Dept,Active,Bulverde Rd from N Loop 1604 E Access Rd to Beckwood Dr,None,1355.89645648686
422,422,BF_313002709,Route,DUGAS DR,Unknown,San Antonio,4,319.50770277,COSA - Public Works Dept,Active,Dugas Dr from Dead End at Arrowhead Trl to W Military Dr,None,319.507702774737
423,423,BF_313002952,Bike Lane,VISTA REAL,Unknown,San Antonio,9,281.84303267,COSA - Public Works Dept,Active,Churchill Estates Blvd_Vista Real from Huebner Rd to Dead End,None,281.843032675824
424,424,BF_313000789,Route,S MESQUITE ST,Unknown,San Antonio,2,241.1130835,COSA - Public Works Dept,Active,S Mesquite St from Nevada to Hays St,None,241.113083509587
425,425,BF_313001901,Multi Use Path,N WALTERS ST,Unknown,San Antonio,2,199.95939877,COSA - Public Works Dept,Active,N Walters from IH 35 to Ft Sam Houston Gate_CIMS 2007 Bond Project_15 ft Multi Use Path West Side,None,199.95939877316
426,426,BF_313001558,Route,DONALDSON AVE,Unknown,San Antonio,7,368.43629809,COSA - Public Works Dept,Active,Donaldson Ave from N Elmendorf to E Quill Dr,None,368.436298091137
427,427,BF_313003030,Bike Lane,S FLORES ST,Unknown,San Antonio,5,208.21914515,COSA - Public Works Dept,Active,S Flores St from E Cevallos_W Cevallos to E Theo Ave_W Theo Ave,None,208.219145157671
428,428,BF_313004362,Multi Use Path,PRUE RD,Unknown,San Antonio,7,398.71946217,COSA - Public Works Dept,Inactive,Prue Rd from Kyle Seale Pkwy to Autumn Bluff,changed to Inactive Status per 01/31/2020 email from Lauren Simcic to Paul Tenner - not a valid Bike Facility per City Auditor's Office,398.719462169772
429,429,BF_313003262,Route,N FLORES ST,Unknown,San Antonio,1,11.2499775,COSA - Public Works Dept,Active,N Flores St from W Ashby Place to Fulton Ave,None,11.2499774992466
430,430,BF_313002919,Bike Lane,S TRINITY,Unknown,San Antonio,5,200.62846856,COSA - Public Works Dept,Active,S Trinity from S Laredo St to W Houston St,None,200.628468565409
431,431,BF_313003640,Route,GRANT AVE,Unknown,San Antonio,1,453.37921766,COSA - Public Works Dept,Active,COLONY DR from IH 10 W to VANCE JACKSON,None,453.379217665826
432,432,BF_313004472,Route,N SAN JACINTO ST,Unknown,San Antonio,5,198.03796326,COSA - Public Works Dept,TBD,TBD,Streetview 3-2022,198.037963259608
433,433,BF_313003996,To Be Determined,N GEVERS ST,Unknown,San Antonio,2,325.25154293,COSA - Public Works Dept,Staff Recommended for IMP 2020 to 2024,N Gevers St from E Houston St to E Commerce St,None,325.251542931659
434,434,BF_313002294,Bike Lane,DWYER AVE,Unknown,San Antonio,1,64.74600939,COSA - Public Works Dept,Active,Dwyer Ave from E Cesar Chavez Blvd to E Nueva St,None,64.7460093954955
435,435,BF_313003988,To Be Determined,N GEVERS ST,Unknown,San Antonio,2,177.00015064,COSA - Public Works Dept,Staff Recommended for IMP 2020 to 2024,N Gevers St from E Houston St to E Commerce St,None,177.000150639775
436,436,BF_313004122,Multi Use Path,W HAUSMAN RD,40-00420 Hausman Road Loop 1604 to IH 10,San Antonio,8,260.00842999,COSA - Public Works Dept,Active,W Hausman Rd from N Loop 1604 W Access Rd to University Hts,None,260.008429993862
